INFO 2025-11-09 22:52:34,197 autoreload Watching for file changes with StatReloader
INFO 2025-11-09 22:52:50,018 basehttp "GET / HTTP/1.1" 200 449
WARNING 2025-11-09 22:52:51,825 log Not Found: /favicon.ico
WARNING 2025-11-09 22:52:51,825 basehttp "GET /favicon.ico HTTP/1.1" 404 3857
INFO 2025-11-09 22:53:13,742 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-11-09 22:53:15,642 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
INFO 2025-11-09 22:53:16,303 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-11-09 22:53:16,311 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-11-09 22:53:16,327 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-11-09 22:53:16,335 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-11-09 22:53:16,367 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-11-09 22:53:16,383 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-11-09 22:53:16,456 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
WARNING 2025-11-09 22:53:16,600 log Not Found: /favicon.ico
WARNING 2025-11-09 22:53:16,600 basehttp "GET /favicon.ico HTTP/1.1" 404 3857
INFO 2025-11-09 22:53:23,883 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-11-09 22:53:23,992 basehttp "GET /admin/ HTTP/1.1" 200 14724
INFO 2025-11-09 22:53:24,287 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-11-09 22:53:24,325 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-11-09 22:53:24,333 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-11-09 23:03:32,299 autoreload Watching for file changes with StatReloader
INFO 2025-11-09 23:03:36,234 basehttp "GET / HTTP/1.1" 200 449
INFO 2025-11-09 23:03:40,588 basehttp "GET / HTTP/1.1" 200 449
INFO 2025-11-09 23:06:54,433 basehttp "OPTIONS /api/token/ HTTP/1.1" 200 0
INFO 2025-11-09 23:06:56,593 basehttp "POST /api/token/ HTTP/1.1" 200 483
INFO 2025-11-09 23:06:56,602 basehttp "OPTIONS /api/accounts/users/me/ HTTP/1.1" 200 0
INFO 2025-11-09 23:06:56,618 basehttp "GET /api/accounts/users/me/ HTTP/1.1" 200 243
INFO 2025-11-09 23:06:56,720 basehttp "OPTIONS /api/accounts/students/ HTTP/1.1" 200 0
INFO 2025-11-09 23:06:56,725 basehttp "OPTIONS /api/students/teachers/ HTTP/1.1" 200 0
INFO 2025-11-09 23:06:56,749 basehttp "GET /api/accounts/students/ HTTP/1.1" 200 52
INFO 2025-11-09 23:06:56,749 basehttp "GET /api/students/teachers/ HTTP/1.1" 200 52
INFO 2025-11-09 23:06:56,758 basehttp "OPTIONS /api/payments/payments/statistics/ HTTP/1.1" 200 0
INFO 2025-11-09 23:06:56,758 basehttp "OPTIONS /api/payments/payments/recent/ HTTP/1.1" 200 0
INFO 2025-11-09 23:06:56,762 basehttp "OPTIONS /api/payments/payments/statistics/ HTTP/1.1" 200 0
INFO 2025-11-09 23:06:56,762 basehttp "OPTIONS /api/payments/payments/recent/ HTTP/1.1" 200 0
INFO 2025-11-09 23:06:56,774 basehttp "GET /api/accounts/students/ HTTP/1.1" 200 52
INFO 2025-11-09 23:06:56,782 basehttp "GET /api/students/teachers/ HTTP/1.1" 200 52
INFO 2025-11-09 23:06:56,814 basehttp "GET /api/payments/payments/recent/ HTTP/1.1" 200 52
INFO 2025-11-09 23:06:56,822 basehttp "GET /api/payments/payments/recent/ HTTP/1.1" 200 52
INFO 2025-11-09 23:06:56,838 basehttp "GET /api/payments/payments/statistics/ HTTP/1.1" 200 929
INFO 2025-11-09 23:06:56,862 basehttp "GET /api/payments/payments/statistics/ HTTP/1.1" 200 929
INFO 2025-11-09 23:07:55,838 basehttp "GET /api/students/teachers/ HTTP/1.1" 200 52
INFO 2025-11-09 23:07:55,844 basehttp "GET /api/accounts/students/ HTTP/1.1" 200 52
INFO 2025-11-09 23:07:55,869 basehttp "GET /api/payments/payments/recent/ HTTP/1.1" 200 52
INFO 2025-11-09 23:07:55,869 basehttp "GET /api/accounts/students/ HTTP/1.1" 200 52
INFO 2025-11-09 23:07:55,887 basehttp "GET /api/students/teachers/ HTTP/1.1" 200 52
INFO 2025-11-09 23:07:55,902 basehttp "GET /api/payments/payments/recent/ HTTP/1.1" 200 52
INFO 2025-11-09 23:07:55,920 basehttp "GET /api/payments/payments/statistics/ HTTP/1.1" 200 929
